Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Taíba,EOL,5000.0,"-3,49527778","-38,93388889",São Gonçalo do Amarante - CE
Parque Eólico de Beberibe,EOL,25600.0,"-4,19363072","-38,07655968",Beberibe - CE
RN 15 - Rio do Fogo,EOL,49300.0,"-5,30970065","-35,38670542",Rio do Fogo - RN
Praia do Morgado,EOL,28800.0,"-2,81509786","-40,23487495",Acaraú - CE
Volta do Rio,EOL,42000.0,"-2,85134303","-39,96593731",Acaraú - CE
Alegria II,EOL,100650.0,"-5,12430556","-36,38330556",Guamaré - RN
Alegria I,EOL,51000.0,"-5,09435278","-36,36287521",Guamaré - RN
Foz do Rio Choró,EOL,25200.0,"-4,12555556","-38,15027778",Beberibe - CE
Praia Formosa,EOL,105000.0,"-2,90509733","-41,03924765",Camocim - CE
Canoa Quebrada,EOL,10500.0,"-4,53583333","-37,69527778",Aracati - CE
Icaraizinho,EOL,54600.0,"-3,01786514","-39,67407146",Amontada - CE
Paracuru,EOL,25200.0,"-3,43147438","-38,96196719",Paracuru - CE
Elebrás Cidreira 1,EOL,70000.0,"-30,07905905","-50,17205613",Tramandaí - RS
Praias de Parajuru,EOL,28800.0,"-4,36305556","-37,88388889",Beberibe - CE
Gargaú,EOL,28050.0,"-21,56572196","-41,07310692",São Francisco de Itabapoana - RJ
Pedra do Sal,EOL,18000.0,"-2,82624694","-41,70708553",Parnaíba - PI
Enacel,EOL,31500.0,"-4,50991739","-37,76072836",Aracati - CE
Canoa Quebrada,EOL,57000.0,"-4,46705037","-37,75771695",Aracati - CE
Água Doce,EOL,9000.0,"-26,58391939","-51,68758707",Água Doce - SC
Parque Eólico de Osório,EOL,50000.0,"-29,96309236","-50,28257195",Osório - RS
Sangradouro,EOL,50000.0,"-29,93244598","-50,29843056",Osório - RS
Parque Eólico de Palmares,EOL,9200.0,"-30,45796095","-50,39064041",Palmares do Sul - RS
Taíba Águia,EOL,23100.0,"-3,54476008","-38,88874255",São Gonçalo do Amarante - CE
Taíba Albatroz,EOL,16500.0,"-3,51028908","-38,91639180",São Gonçalo do Amarante - CE
Parque Eólico dos Índios,EOL,50000.0,"-29,99145210","-50,28796405",Osório - RS
Bons Ventos,EOL,50000.0,"-4,44719747","-37,75955651",Aracati - CE
Millennium,EOL,10200.0,"-6,49388892","-34,97194437",Mataraca - PB
Púlpito,EOL,30000.0,"-28,47100139","-49,60503448",Bom Jardim da Serra - SC
Aquibatã,EOL,30000.0,"-26,58483083","-51,75316958",Água Doce - SC
Cascata,EOL,6000.0,"-26,58894030","-51,74274450",Água Doce - SC
Rio do Ouro,EOL,30000.0,"-28,44642611","-49,60757873",Bom Jardim da Serra - SC
Salto,EOL,30000.0,"-26,58856179","-51,81380026",Água Doce - SC
Bom Jardim,EOL,30000.0,"-28,44025771","-49,57030656",Bom Jardim da Serra - SC
Campo Belo,EOL,10500.0,"-26,61226387","-51,74013755",Água Doce - SC
Amparo,EOL,22500.0,"-26,61826629","-51,56459472",Água Doce - SC
Cruz Alta,EOL,30000.0,"-26,59938665","-51,72547186",Água Doce - SC
Tauá,UFV,5000.0,"-6,00388889","-40,27472222",Tauá - CE
Aratuá I,EOL,14400.0,"-5,09194826","-36,33765611",Guamaré - RN
Buriti,EOL,30000.0,"-2,88526007","-39,98390256",Acaraú - CE
Mangue Seco 3,EOL,26000.0,"-5,18560396","-36,36026509",Guamaré - RN
Coqueiros,EOL,27000.0,"-2,88554663","-39,97209897",Acaraú - CE
Macaúbas,EOL,35070.0,"-12,35119149","-42,33852459",Brotas de Macaúbas - BA
Mangue Seco 2,EOL,26000.0,"-5,16593439","-36,31925994",Guamaré - RN
Mangue Seco 1,EOL,26000.0,"-5,17395459","-36,30237170",Guamaré - RN
Osório 2,EOL,27600.0,"-29,94453822","-50,25159686",Osório - RS
Pedra do Reino,EOL,30000.0,"-9,51754829","-40,88639419",Sobradinho - BA
Icaraí,EOL,16800.0,"-3,02740911","-39,62090699",Amontada - CE
Mangue Seco 5,EOL,26000.0,"-5,16731956","-36,40675102",Guamaré - RN
Santa Clara I,EOL,30000.0,"-5,24316680","-35,89882636",Parazinho - RN
Santa Clara III,EOL,30000.0,"-5,26883662","-35,90357365",Parazinho - RN
Cajucoco,EOL,30000.0,"-2,91589101","-39,95443754",Itarema - CE
Colônia,EOL,18900.0,"-3,54216022","-38,87840271",São Gonçalo do Amarante - CE
Barra dos Coqueiros,EOL,34500.0,"-10,80996755","-36,92926012",Barra dos Coqueiros - SE
Dunas de Paracuru,EOL,42000.0,"-3,43674371","-38,98536818",Paracuru - CE
Morro dos Ventos VI,EOL,28800.0,"-5,34366667","-35,87830556",João Câmara - RN
Morro dos Ventos I,EOL,28800.0,"-5,36283341","-35,81897265",João Câmara - RN
Morro dos Ventos IX,EOL,30000.0,"-5,30548793","-35,91324506",João Câmara - RN
Santa Clara VI,EOL,30000.0,"-5,24030138","-35,92696942",Parazinho - RN
Novo Horizonte,EOL,30060.0,"-12,31269913","-42,35098757",Brotas de Macaúbas - BA
Seabra,EOL,35390.0,"-12,27870333","-42,36260411",Brotas de Macaúbas - BA
Santa Clara IV,EOL,30000.0,"-5,23944376","-35,91353199",Parazinho - RN
Santa Clara II,EOL,30000.0,"-5,26748652","-35,91023359",Parazinho - RN
Faísa V,EOL,29400.0,"-3,36994474","-39,26209818",Trairi - CE
Morro dos Ventos III,EOL,28800.0,"-5,37436111","-35,86825000",João Câmara - RN
Morro dos Ventos IV,EOL,28800.0,"-5,38202775","-35,88088889",João Câmara - RN
Serra do Salto,EOL,19200.0,"-14,15545583","-42,63821972",Guanambi - BA
Ilhéus,EOL,11200.0,"-13,88230000","-42,66305000",Guanambi - BA
Candiba,EOL,9600.0,"-14,18314712","-42,62274949",Guanambi - BA
Licínio de Almeida,EOL,24000.0,"-14,17694395","-42,65406270",Guanambi - BA
Nossa Senhora da Conceição,EOL,28800.0,"-13,89569444","-42,67688889",Igaporã - BA
Pajeú do Vento,EOL,25600.0,"-14,01475000","-42,63386111",Caetité - BA
Alvorada,EOL,8000.0,"-14,18515114","-42,59107260",Caetité - BA
Igaporã,EOL,30400.0,"-13,86057434","-42,65734170",Igaporã - BA
Planaltina,EOL,27200.0,"-13,98794444","-42,63894444",Caetité - BA
Porto Seguro,EOL,6400.0,"-13,86294444","-42,67266667",Igaporã - BA
Pindaí,EOL,24000.0,"-14,20213939","-42,65889865",Guanambi - BA
Guanambi,EOL,20800.0,"-14,20170756","-42,61830984",Guanambi - BA
Faísa IV,EOL,25200.0,"-3,32206483","-39,26705406",Trairi - CE
Sangradouro 3,EOL,27600.0,"-29,95953182","-50,31139207",Osório - RS
Faísa II,EOL,27300.0,"-3,31876415","-39,23959593",Trairi - CE
Faísa III,EOL,25200.0,"-3,34782022","-39,26524944",Trairi - CE
Cabeço Preto,EOL,19800.0,"-5,41871072","-35,95397538",João Câmara - RN
